"","CONGLOME","VIVIENDA","HOGAR","UBIGEO","DOMINIO","ESTRATO","FACTOR07","year","family_size","family_size_ame","fg_dairy_food_capita","fg_eggs_capita","fg_fruits_vegetable_other_capita","fg_fruits_vegetable_vita_capita","fg_grains_capita","fg_meatfish_capita","fg_milk_capita","fg_nuts_capita","fg_oil_capita","fg_other_capita","fg_root_capita","fbdg_ASF_capita","fbdg_dairy_capita","fbdg_fruit_capita","fbdg_oilfat_capita","fbdg_other_capita","fbdg_staple_legume_capita","fbdg_vegetable_capita","staple_legume_capita","rural_urban","department","region","area","department_name","year_treated","treated_status","treatment_group","income_net","P5566A","P5566C","juntos_participation","juntos_amount","fbdg_staple_legume_capita_score","fbdg_vegetable_capita_score","fbdg_fruit_capita_score","fbdg_dairy_capita_score","fbdg_ASF_capita_score","fbdg_oilfat_capita_score","fbdg_staple_legume_capita_score_optimal","fbdg_vegetable_capita_score_optimal","fbdg_fruit_capita_score_optimal","fbdg_dairy_capita_score_optimal","fbdg_ASF_capita_score_optimal","fbdg_oilfat_capita_score_optimal","fbdg_staple_legume_capita_log1p","fbdg_vegetable_capita_log1p","fbdg_fruit_capita_log1p","fbdg_dairy_capita_log1p","fbdg_ASF_capita_log1p","fbdg_oilfat_capita_log1p","fg_NA_capita","fbdg_NA_capita"
"61","2007_0003","085","11","010101",4,"2007_4",15.098,2007,3,2.67391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",19876.995490216,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2007_0003","085","11","010101",4,"2007_4",15.098,2007,3,2.67391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",19876.995490216,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2007_0003","110","11","010101",4,"2007_4",15.098,2007,4,3.78015217391304,NA,NA,NA,NA,195.414571481874,42.0296584273308,NA,NA,NA,1660.16484597921,NA,42.0296584273308,NA,NA,NA,1660.16484597921,195.414571481874,NA,195.414571481874,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",98165.7311210954,2,NA,"non_participant",NA,3,NA,NA,NA,3,NA,0,NA,NA,NA,0,NA,5.28022758604944,NA,NA,NA,3.7618896088067,NA,NA,NA
"64","2007_0003","110","11","010101",4,"2007_4",15.098,2007,4,3.78015217391304,NA,NA,NA,NA,195.414571481874,42.0296584273308,NA,NA,NA,1660.16484597921,NA,42.0296584273308,NA,NA,NA,1660.16484597921,195.414571481874,NA,195.414571481874,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",98165.7311210954,2,NA,"non_participant",NA,3,NA,NA,NA,3,NA,0,NA,NA,NA,0,NA,5.28022758604944,NA,NA,NA,3.7618896088067,NA,NA,NA
"65","2007_0003","110","11","010101",4,"2007_4",15.098,2007,4,3.78015217391304,NA,NA,NA,NA,195.414571481874,42.0296584273308,NA,NA,NA,1660.16484597921,NA,42.0296584273308,NA,NA,NA,1660.16484597921,195.414571481874,NA,195.414571481874,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",98165.7311210954,2,NA,"non_participant",NA,3,NA,NA,NA,3,NA,0,NA,NA,NA,0,NA,5.28022758604944,NA,NA,NA,3.7618896088067,NA,NA,NA
"66","2007_0004","009","11","010101",4,"2007_4",17.079,2007,5,4.36282608695652,13.3571811283705,257.057078313463,214.878296046863,NA,656.716570821321,682.286809372662,53.4287245134821,NA,220.640658885723,1335.41493927948,NA,939.343887686126,66.7859056418526,214.214231927886,220.640658885723,1335.41493927948,656.716570821321,0.664064118976447,656.716570821321,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",95770.008909251,2,NA,"non_participant",NA,2,3,3,3,2,2,0,0,0,0,0,0,6.48877409509607,0.509262874695369,5.3716339595948,4.21635429194741,6.84624564632562,5.40105741676915,NA,NA
"67","2007_0004","009","11","010101",4,"2007_4",17.079,2007,5,4.36282608695652,13.3571811283705,257.057078313463,214.878296046863,NA,656.716570821321,682.286809372662,53.4287245134821,NA,220.640658885723,1335.41493927948,NA,939.343887686126,66.7859056418526,214.214231927886,220.640658885723,1335.41493927948,656.716570821321,0.664064118976447,656.716570821321,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",95770.008909251,2,NA,"non_participant",NA,2,3,3,3,2,2,0,0,0,0,0,0,6.48877409509607,0.509262874695369,5.3716339595948,4.21635429194741,6.84624564632562,5.40105741676915,NA,NA
"68","2007_0004","009","11","010101",4,"2007_4",17.079,2007,5,4.36282608695652,13.3571811283705,257.057078313463,214.878296046863,NA,656.716570821321,682.286809372662,53.4287245134821,NA,220.640658885723,1335.41493927948,NA,939.343887686126,66.7859056418526,214.214231927886,220.640658885723,1335.41493927948,656.716570821321,0.664064118976447,656.716570821321,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",95770.008909251,2,NA,"non_participant",NA,2,3,3,3,2,2,0,0,0,0,0,0,6.48877409509607,0.509262874695369,5.3716339595948,4.21635429194741,6.84624564632562,5.40105741676915,NA,NA
"69","2007_0004","009","11","010101",4,"2007_4",17.079,2007,5,4.36282608695652,13.3571811283705,257.057078313463,214.878296046863,NA,656.716570821321,682.286809372662,53.4287245134821,NA,220.640658885723,1335.41493927948,NA,939.343887686126,66.7859056418526,214.214231927886,220.640658885723,1335.41493927948,656.716570821321,0.664064118976447,656.716570821321,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",95770.008909251,2,NA,"non_participant",NA,2,3,3,3,2,2,0,0,0,0,0,0,6.48877409509607,0.509262874695369,5.3716339595948,4.21635429194741,6.84624564632562,5.40105741676915,NA,NA
"70","2007_0004","009","11","010101",4,"2007_4",17.079,2007,5,4.36282608695652,13.3571811283705,257.057078313463,214.878296046863,NA,656.716570821321,682.286809372662,53.4287245134821,NA,220.640658885723,1335.41493927948,NA,939.343887686126,66.7859056418526,214.214231927886,220.640658885723,1335.41493927948,656.716570821321,0.664064118976447,656.716570821321,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",95770.008909251,2,NA,"non_participant",NA,2,3,3,3,2,2,0,0,0,0,0,0,6.48877409509607,0.509262874695369,5.3716339595948,4.21635429194741,6.84624564632562,5.40105741676915,NA,NA
